:START_ID,:END_ID,:TYPE
NCT02988635,OUTCOME:NCT02988635:0,HAS_OUTCOME
NCT02979535,OUTCOME:NCT02979535:0,HAS_OUTCOME
NCT02979535,OUTCOME:NCT02979535:1,HAS_OUTCOME
NCT01036035,OUTCOME:NCT01036035:0,HAS_OUTCOME
NCT04197635,OUTCOME:NCT04197635:0,HAS_OUTCOME
NCT00159835,OUTCOME:NCT00159835:0,HAS_OUTCOME
NCT04440735,OUTCOME:NCT04440735:0,HAS_OUTCOME
NCT04440735,OUTCOME:NCT04440735:1,HAS_OUTCOME
NCT04440735,OUTCOME:NCT04440735:2,HAS_OUTCOME
NCT02584335,OUTCOME:NCT02584335:0,HAS_OUTCOME
NCT01615835,OUTCOME:NCT01615835:0,HAS_OUTCOME
NCT03481335,OUTCOME:NCT03481335:0,HAS_OUTCOME
NCT03665935,OUTCOME:NCT03665935:0,HAS_OUTCOME
NCT03470935,OUTCOME:NCT03470935:0,HAS_OUTCOME
NCT02784535,OUTCOME:NCT02784535:0,HAS_OUTCOME
NCT04312035,OUTCOME:NCT04312035:0,HAS_OUTCOME
NCT04312035,OUTCOME:NCT04312035:1,HAS_OUTCOME
NCT03686735,OUTCOME:NCT03686735:0,HAS_OUTCOME
NCT03686735,OUTCOME:NCT03686735:1,HAS_OUTCOME
NCT03686735,OUTCOME:NCT03686735:2,HAS_OUTCOME
NCT03686735,OUTCOME:NCT03686735:3,HAS_OUTCOME
NCT04473235,OUTCOME:NCT04473235:0,HAS_OUTCOME
NCT02004535,OUTCOME:NCT02004535:0,HAS_OUTCOME
NCT04747535,OUTCOME:NCT04747535:0,HAS_OUTCOME
NCT06029335,OUTCOME:NCT06029335:0,HAS_OUTCOME
NCT06029335,OUTCOME:NCT06029335:1,HAS_OUTCOME
NCT01813435,OUTCOME:NCT01813435:0,HAS_OUTCOME
NCT03352635,OUTCOME:NCT03352635:0,HAS_OUTCOME
NCT03352635,OUTCOME:NCT03352635:1,HAS_OUTCOME
NCT03352635,OUTCOME:NCT03352635:2,HAS_OUTCOME
NCT05452135,OUTCOME:NCT05452135:0,HAS_OUTCOME
NCT05452135,OUTCOME:NCT05452135:1,HAS_OUTCOME
NCT05452135,OUTCOME:NCT05452135:2,HAS_OUTCOME
NCT02345135,OUTCOME:NCT02345135:0,HAS_OUTCOME
NCT06758635,OUTCOME:NCT06758635:0,HAS_OUTCOME
NCT06758635,OUTCOME:NCT06758635:1,HAS_OUTCOME
NCT06758635,OUTCOME:NCT06758635:2,HAS_OUTCOME
NCT06758635,OUTCOME:NCT06758635:3,HAS_OUTCOME
NCT06031935,OUTCOME:NCT06031935:0,HAS_OUTCOME
NCT06636435,OUTCOME:NCT06636435:0,HAS_OUTCOME
NCT06636435,OUTCOME:NCT06636435:1,HAS_OUTCOME
NCT01825135,OUTCOME:NCT01825135:0,HAS_OUTCOME
NCT05706935,OUTCOME:NCT05706935:0,HAS_OUTCOME
NCT01881035,OUTCOME:NCT01881035:0,HAS_OUTCOME
NCT00149435,OUTCOME:NCT00149435:0,HAS_OUTCOME
NCT05021835,OUTCOME:NCT05021835:0,HAS_OUTCOME
NCT06595108,OUTCOME:NCT06595108:0,HAS_OUTCOME
NCT05672108,OUTCOME:NCT05672108:0,HAS_OUTCOME
NCT05672108,OUTCOME:NCT05672108:1,HAS_OUTCOME
NCT03112408,OUTCOME:NCT03112408:0,HAS_OUTCOME
NCT03554408,OUTCOME:NCT03554408:0,HAS_OUTCOME
NCT03554408,OUTCOME:NCT03554408:1,HAS_OUTCOME
NCT03554408,OUTCOME:NCT03554408:2,HAS_OUTCOME
NCT03554408,OUTCOME:NCT03554408:3,HAS_OUTCOME
NCT03554408,OUTCOME:NCT03554408:4,HAS_OUTCOME
NCT03554408,OUTCOME:NCT03554408:5,HAS_OUTCOME
NCT03554408,OUTCOME:NCT03554408:6,HAS_OUTCOME
NCT02791308,OUTCOME:NCT02791308:0,HAS_OUTCOME
NCT03924908,OUTCOME:NCT03924908:0,HAS_OUTCOME
NCT03924908,OUTCOME:NCT03924908:1,HAS_OUTCOME
NCT03924908,OUTCOME:NCT03924908:2,HAS_OUTCOME
NCT03924908,OUTCOME:NCT03924908:3,HAS_OUTCOME
NCT04096508,OUTCOME:NCT04096508:0,HAS_OUTCOME
NCT01022008,OUTCOME:NCT01022008:0,HAS_OUTCOME
NCT04340908,OUTCOME:NCT04340908:0,HAS_OUTCOME
NCT04340908,OUTCOME:NCT04340908:1,HAS_OUTCOME
NCT02520908,OUTCOME:NCT02520908:0,HAS_OUTCOME
NCT07147608,OUTCOME:NCT07147608:0,HAS_OUTCOME
NCT05336708,OUTCOME:NCT05336708:0,HAS_OUTCOME
NCT01548508,OUTCOME:NCT01548508:0,HAS_OUTCOME
NCT06193408,OUTCOME:NCT06193408:0,HAS_OUTCOME
NCT02098408,OUTCOME:NCT02098408:0,HAS_OUTCOME
NCT05873608,OUTCOME:NCT05873608:0,HAS_OUTCOME
NCT05873608,OUTCOME:NCT05873608:1,HAS_OUTCOME
NCT05873608,OUTCOME:NCT05873608:2,HAS_OUTCOME
NCT05873608,OUTCOME:NCT05873608:3,HAS_OUTCOME
NCT02544308,OUTCOME:NCT02544308:0,HAS_OUTCOME
NCT04561908,OUTCOME:NCT04561908:0,HAS_OUTCOME
NCT04561908,OUTCOME:NCT04561908:1,HAS_OUTCOME
