:START_ID,:END_ID,:TYPE
NCT02988635,COND:NON-SMALL_CELL_LUNG_CANCER,STUDIES_CONDITION
NCT02988635,COND:GASTRIC_CANCER,STUDIES_CONDITION
NCT02988635,COND:PANCREATIC_CANCER,STUDIES_CONDITION
NCT02988635,COND:BILIARY_TRACT_CANCER,STUDIES_CONDITION
NCT02979535,COND:DENGUE_FEVER,STUDIES_CONDITION
NCT02979535,COND:DENGUE_HEMORRHAGIC_FEVER,STUDIES_CONDITION
NCT02979535,COND:HUMAN_PAPILLOMAVIRUS_DISEASE,STUDIES_CONDITION
NCT01036035,COND:INCONTINENCE,STUDIES_CONDITION
NCT04197635,COND:HEART_FAILURE_WITH_REDUCED_EJECTION_FRACTION,STUDIES_CONDITION
NCT00022035,COND:INFECTION,STUDIES_CONDITION
NCT00022035,COND:LEUKEMIA,STUDIES_CONDITION
NCT00159835,COND:CARDIOVASCULAR_DISEASES,STUDIES_CONDITION
NCT04440735,COND:ADVANCED_SOLID_TUMOR,STUDIES_CONDITION
NCT04440735,COND:NON_SMALL_CELL_LUNG_CANCER,STUDIES_CONDITION
NCT04440735,COND:COLORECTAL_CANCER,STUDIES_CONDITION
NCT02584335,COND:WOUNDS,STUDIES_CONDITION
NCT02584335,COND:LOCAL_ANESTHESIA,STUDIES_CONDITION
NCT01615835,COND:CONGESTIVE_HEART_FAILURE,STUDIES_CONDITION
NCT03481335,"COND:DIABETES_MELLITUS,_TYPE_2",STUDIES_CONDITION
NCT03481335,COND:HYPERTENSION,STUDIES_CONDITION
NCT03665935,COND:MYELOPATHY,STUDIES_CONDITION
NCT03470935,COND:BREAST_CANCER_FEMALE,STUDIES_CONDITION
NCT02784535,COND:NEUROGENIC_ORTHOSTATIC_HYPOTENSION,STUDIES_CONDITION
NCT04312035,COND:OSTEO_ARTHRITIS_KNEE,STUDIES_CONDITION
NCT03686735,COND:ALL_ORTHOPEDIC_DISORDERS,STUDIES_CONDITION
NCT03686735,COND:NEW_OR_FOLLOW-UP_PATIENTS,STUDIES_CONDITION
NCT04473235,COND:MEMORY_IMPAIRMENT,STUDIES_CONDITION
NCT02004535,COND:HEARING_LOSS,STUDIES_CONDITION
NCT04747535,COND:ABDOMINAL_SURGERY,STUDIES_CONDITION
NCT04747535,COND:CONTINUOUS_POSITIVE_AIRWAY_PRESSURE,STUDIES_CONDITION
