:ID,phase,study_type,title,:LABEL
NCT02988635,['PHASE3'],INTERVENTIONAL,Early Palliative Care on Quality of Life of Advanced Cancer Patients,Study
NCT02979535,['PHASE3'],INTERVENTIONAL,Immunogenicity and Safety of a Tetravalent Dengue Vaccine Administered Concomitantly or Sequentially With Cervarix®,Study
NCT01036035,['PHASE1'],INTERVENTIONAL,Effects of Novel Combinations of Tolterodine/Pilocarpine on Pharmacokinetics (PK) and Pharmacodynamics (PD) of Tolterodine in Healthy Subjects,Study
NCT04197635,['PHASE4'],INTERVENTIONAL,Short-term Effects of Dapagliflozin on Peak VO2 in HFrEF,Study
NCT00022035,['NA'],INTERVENTIONAL,Vaccine Therapy in Preventing Flu in Children With Acute Lymphoblastic Leukemia,Study
NCT00159835,['PHASE4'],INTERVENTIONAL,Atorvastatin Versus Simvastatin In The Prevention Of Coronary Heart Disease (CHD) In Patients With Known CHD,Study
NCT04440735,"['PHASE1', 'PHASE2']",INTERVENTIONAL,A Study of DSP107 Alone and in Combination with Atezolizumab for Patients with Advanced Solid Tumors,Study
NCT02584335,['PHASE4'],INTERVENTIONAL,To Evaluate Reduction of Pain in Wounds Treatment Previously Applying Lidocaine Topical Solution vs Placebo,Study
NCT01615835,['NA'],INTERVENTIONAL,EnSite NavX-Guided Coronary Sinus Mapping During CRT Implant,Study
NCT03481335,['NA'],INTERVENTIONAL,Community Health Assessment Program in the Philippines (CHAP-P),Study
NCT03665935,[],OBSERVATIONAL,Diffusion Tensor Imaging of Myelopathy,Study
NCT03470935,[],OBSERVATIONAL,Non-interventional Study Evaluating Gynecological Impact of Diagnosis and Treatment of Breast Cancer in Patients Younger,Study
NCT02784535,['PHASE2'],INTERVENTIONAL,"Norepinephrine Transporter Blockade, Autonomic Failure (NETAF)",Study
NCT04312035,['NA'],INTERVENTIONAL,Effect of Combined Interventions on Pressure Pain Threshold,Study
NCT03686735,[],OBSERVATIONAL,Patient Satisfaction Scales,Study
